	SampleID	MonkeyID	Time	Condition	Time_Condition	Monkey_Time_Condition	Monkey_Time
COM_0001	COM_0001	Monkey1	D0	Control	D0_Control	Monkey1_D0_Control	Monkey1_D0
COM_0002	COM_0002	Monkey2	D0	Control	D0_Control	Monkey2_D0_Control	Monkey2_D0
COM_0003	COM_0003	Monkey3	D0	Control	D0_Control	Monkey3_D0_Control	Monkey3_D0
COM_0004	COM_0004	Monkey4	D0	Control	D0_Control	Monkey4_D0_Control	Monkey4_D0
COM_0005	COM_0005	Monkey5	D0	Control	D0_Control	Monkey5_D0_Control	Monkey5_D0
COM_0006	COM_0006	Monkey6	D0	Control	D0_Control	Monkey6_D0_Control	Monkey6_D0
COM_0007	COM_0007	Monkey7	D0	Control	D0_Control	Monkey7_D0_Control	Monkey7_D0
COM_0008	COM_0008	Monkey8	D0	Control	D0_Control	Monkey8_D0_Control	Monkey8_D0
COM_0009	COM_0009	Monkey1	D1	Case	D1_Case	Monkey1_D1_Case	Monkey1_D1
COM_0010	COM_0010	Monkey2	D1	Case	D1_Case	Monkey2_D1_Case	Monkey2_D1
COM_0011	COM_0011	Monkey3	D1	Case	D1_Case	Monkey3_D1_Case	Monkey3_D1
COM_0012	COM_0012	Monkey4	D1	Case	D1_Case	Monkey4_D1_Case	Monkey4_D1
COM_0013	COM_0013	Monkey5	D1	Case	D1_Case	Monkey5_D1_Case	Monkey5_D1
COM_0014	COM_0014	Monkey6	D1	Case	D1_Case	Monkey6_D1_Case	Monkey6_D1
COM_0015	COM_0015	Monkey7	D1	Case	D1_Case	Monkey7_D1_Case	Monkey7_D1
COM_0016	COM_0016	Monkey8	D1	Case	D1_Case	Monkey8_D1_Case	Monkey8_D1
COM_0017	COM_0017	Monkey1	D3	Case	D3_Case	Monkey1_D3_Case	Monkey1_D3
COM_0018	COM_0018	Monkey2	D3	Case	D3_Case	Monkey2_D3_Case	Monkey2_D3
COM_0019	COM_0019	Monkey3	D3	Case	D3_Case	Monkey3_D3_Case	Monkey3_D3
COM_0020	COM_0020	Monkey4	D3	Case	D3_Case	Monkey4_D3_Case	Monkey4_D3
COM_0021	COM_0021	Monkey5	D3	Case	D3_Case	Monkey5_D3_Case	Monkey5_D3
COM_0022	COM_0022	Monkey6	D3	Case	D3_Case	Monkey6_D3_Case	Monkey6_D3
COM_0023	COM_0023	Monkey7	D3	Case	D3_Case	Monkey7_D3_Case	Monkey7_D3
COM_0024	COM_0024	Monkey8	D3	Case	D3_Case	Monkey8_D3_Case	Monkey8_D3
COM_0025	COM_0025	Monkey5	D5	Case	D5_Case	Monkey5_D5_Case	Monkey5_D5
COM_0026	COM_0026	Monkey6	D5	Case	D5_Case	Monkey6_D5_Case	Monkey6_D5
COM_0027	COM_0027	Monkey7	D5	Case	D5_Case	Monkey7_D5_Case	Monkey7_D5
COM_0028	COM_0028	Monkey8	D5	Case	D5_Case	Monkey8_D5_Case	Monkey8_D5
COM_0029	COM_0029	Monkey5	D7	Case	D7_Case	Monkey5_D7_Case	Monkey5_D7
COM_0030	COM_0030	Monkey6	D7	Case	D7_Case	Monkey6_D7_Case	Monkey6_D7
COM_0031	COM_0031	Monkey7	D7	Case	D7_Case	Monkey7_D7_Case	Monkey7_D7
COM_0032	COM_0032	Monkey8	D7	Case	D7_Case	Monkey8_D7_Case	Monkey8_D7
COM_0033	COM_0033	Monkey5	D10	Case	D10_Case	Monkey5_D10_Case	Monkey5_D10
COM_0034	COM_0034	Monkey6	D10	Case	D10_Case	Monkey6_D10_Case	Monkey6_D10
COM_0035	COM_0035	Monkey7	D10	Case	D10_Case	Monkey7_D10_Case	Monkey7_D10
COM_0036	COM_0036	Monkey8	D10	Case	D10_Case	Monkey8_D10_Case	Monkey8_D10
COM_0037	COM_0037	Monkey5	D12	Case	D12_Case	Monkey5_D12_Case	Monkey5_D12
COM_0038	COM_0038	Monkey6	D12	Case	D12_Case	Monkey6_D12_Case	Monkey6_D12
COM_0039	COM_0039	Monkey7	D12	Case	D12_Case	Monkey7_D12_Case	Monkey7_D12
COM_0040	COM_0040	Monkey8	D12	Case	D12_Case	Monkey8_D12_Case	Monkey8_D12
COM_0041	COM_0041	Monkey5	D15	Case	D15_Case	Monkey5_D15_Case	Monkey5_D15
COM_0042	COM_0042	Monkey6	D15	Case	D15_Case	Monkey6_D15_Case	Monkey6_D15
COM_0043	COM_0043	Monkey7	D15	Case	D15_Case	Monkey7_D15_Case	Monkey7_D15
COM_0044	COM_0044	Monkey8	D15	Case	D15_Case	Monkey8_D15_Case	Monkey8_D15
COM_0045	COM_0045	Monkey5	D17	Case	D17_Case	Monkey5_D17_Case	Monkey5_D17
COM_0046	COM_0046	Monkey6	D17	Case	D17_Case	Monkey6_D17_Case	Monkey6_D17
COM_0047	COM_0047	Monkey7	D17	Case	D17_Case	Monkey7_D17_Case	Monkey7_D17
COM_0048	COM_0048	Monkey8	D17	Case	D17_Case	Monkey8_D17_Case	Monkey8_D17
